07-03 13:30:57 做多 ao2509 入场价：3032.0 07-03 13:50:03 平多仓 ao2509 卖出价：3036.0  盈利:0.0016490765171503958
07-03 13:50:03 做空 ao2509 入场价：3036.0 07-03 13:58:05 平空仓 ao2509 卖出价：3040.0  盈利:-0.0013179571663920922
07-03 13:58:05 做多 ao2509 入场价：3040.0 07-03 14:13:08 平多仓 ao2509 卖出价：3035.0  盈利:-0.0019730351857941467
07-03 14:13:08 做空 ao2509 入场价：3035.0 07-03 14:21:11 平空仓 ao2509 卖出价：3041.0  盈利:-0.0019769357495881385
07-03 14:21:11 做多 ao2509 入场价：3041.0 07-03 14:36:15 平多仓 ao2509 卖出价：3031.0  盈利:-0.00295955277869122
07-03 14:36:15 做空 ao2509 入场价：3031.0

07-03 21:50:28 做多 ao2509 入场价：3027.0 07-03 22:03:04 平多仓 ao2509 卖出价：3025.0  盈利:-0.0003303600925008259
07-03 22:03:04 做空 ao2509 入场价：3025.0 07-03 22:09:07 平空仓 ao2509 卖出价：3029.0  盈利:-0.001652892561983471
07-03 22:09:07 做多 ao2509 入场价：3029.0 07-03 22:22:52 平多仓 ao2509 卖出价：3031.0  盈利:0.00033003300330033004
07-03 22:22:52 做空 ao2509 入场价：3031.0 07-03 22:42:58 平空仓 ao2509 卖出价：3031.0  盈利:0.0003299241174529858
07-03 22:42:58 做多 ao2509 入场价：3031.0

07-04 09:04:33 做空 ao2509 入场价：3039.0 07-04 09:11:59 平空仓 ao2509 卖出价：3054.0  盈利:-0.004605263157894736
07-04 09:11:59 做多 ao2509 入场价：3054.0 07-04 09:25:08 平多仓 ao2509 卖出价：3046.0  盈利:-0.0016371971185330713
07-04 09:25:08 做空 ao2509 入场价：3046.0 07-04 09:52:49 平空仓 ao2509 卖出价：3038.0  盈利:0.002298095863427446
07-04 09:52:49 做多 ao2509 入场价：3038.0 07-04 10:11:24 平多仓 ao2509 卖出价：3034.0  盈利:-0.0009874917709019092
07-04 10:11:24 做空 ao2509 入场价：3034.0 07-04 13:05:35 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:05:35 做多 ao2509 入场价：3040.0 07-04 13:05:56 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:05:56 做多 ao2509 入场价：3040.0 07-04 13:06:16 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:06:16 做多 ao2509 入场价：3040.0 07-04 13:06:37 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:06:37 做多 ao2509 入场价：3040.0 07-04 13:06:58 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:06:58 做多 ao2509 入场价：3040.0 07-04 13:07:18 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:07:18 做多 ao2509 入场价：3040.0 07-04 13:07:39 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:07:39 做多 ao2509 入场价：3040.0 07-04 13:07:59 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:07:59 做多 ao2509 入场价：3040.0 07-04 13:08:20 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
